settlement_date,lost_energy_block_reason,dispatch_half_hour_count,distinct_bmu_count,accepted_down_delta_mwh_lower_bound,lost_energy_mwh,share_of_dispatch_rows,share_of_dispatch_down_mwh_lower_bound
2024-10-01,estimated,44,13,88.93333333333334,1152.6227499999995,1.0,1.0
2024-10-02,estimated,7,7,24.3,193.65389999999996,0.7777777777777778,0.9123904881101377
2024-10-02,physical_below_generation,2,2,2.333333333333333,0.0,0.2222222222222222,0.08760951188986232
2024-10-03,outage,13,3,18.95,0.0,0.5416666666666666,0.7708474576271186
2024-10-03,estimated,10,10,5.466666666666667,253.1154,0.4166666666666667,0.2223728813559322
2024-10-03,physical_below_generation,1,1,0.16666666666666666,0.0,0.041666666666666664,0.0067796610169491515
2024-10-04,estimated,30,15,44.199999999999996,428.70550000000003,0.6,0.6120470805446572
2024-10-04,outage,16,3,24.016666666666666,0.0,0.32,0.3325640433879529
2024-10-04,physical_below_generation,4,4,4.0,0.0,0.08,0.0553888760673898
2024-10-05,estimated,51,27,82.41666666666666,1278.158333333333,0.6071428571428571,0.7875457875457875
2024-10-05,outage,22,3,16.116666666666667,0.0,0.2619047619047619,0.15400541487498012
2024-10-05,physical_below_generation,9,7,4.383333333333334,0.0,0.10714285714285714,0.04188565058130276
2024-10-05,physical_inconsistent,2,1,1.7333333333333334,0.0,0.023809523809523808,0.016563146997929608
2024-10-06,estimated,25,12,31.099999999999994,890.1692999999997,0.8620689655172413,0.9344016024036055
2024-10-06,outage,2,1,1.7666666666666668,0.0,0.06896551724137931,0.053079619429143736
2024-10-06,physical_below_generation,2,1,0.41666666666666663,0.0,0.06896551724137931,0.01251877816725088
2024-10-07,outage,3,2,8.833333333333334,0.0,0.1,0.6113033448673586
2024-10-07,estimated,20,10,4.033333333333334,237.6483,0.6666666666666666,0.279123414071511
2024-10-07,physical_below_generation,7,6,1.5833333333333335,0.0,0.23333333333333334,0.10957324106113032
